,id,link,Adress,zip,city,size,price,sq_m_price,lotsize,ejerudbetaling,buildyear,energy_class,downPayment,n_rooms,selfsale,dawaID,latitude,longitude,boliga_plus
25,1814397,https://boliga.dk/bolig/1814397,Svanevej 1,4671,Strøby,75,1850000,24666.0,800,1649,1960,-,95000,3.0,False,0A3F50AC-83B5-32B8-E044-0003BA298018,55.3986,12.30117,"{'skybrud': 2, 'stormflod': 2, 'vandloeb': 0, 'grundvand': 4, 'radon': 10, 'jordforurening': 1, 'luftforurening': 4, 'opklaringspct': 0.02, 'risk': 3}"
26,1814451,https://boliga.dk/bolig/1814451,"Bavnbak 47, Klitmøller",7700,Thisted,107,1875000,17523.0,2684,2116,1974,-,95000,5.0,False,0A3F50C4-F40E-32B8-E044-0003BA298018,57.0361,8.47781,"{'skybrud': 0, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 6, 'radon': 5, 'jordforurening': 2, 'luftforurening': 1, 'opklaringspct': 0.06, 'risk': 5}"
27,1814351,https://boliga.dk/bolig/1814351,"Jægerstien 12, Poulsker",3730,Nexø,75,1895000,25266.0,3126,2202,1999,-,95000,4.0,False,0A3F50B1-F5CD-32B8-E044-0003BA298018,54.99966,15.04537,"{'skybrud': 1, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 5, 'radon': 7, 'jordforurening': 1, 'luftforurening': 3, 'opklaringspct': 0.16, 'risk': 1}"
28,1814434,https://boliga.dk/bolig/1814434,"Valmuevej 33, Bøtø",4873,Væggerløse,95,1895000,19947.0,1043,1696,1967,-,95000,5.0,False,0A3F50B1-9F85-32B8-E044-0003BA298018,54.65545,11.94871,"{'skybrud': 8, 'stormflod': 4, 'vandloeb': 0, 'grundvand': 6, 'radon': 9, 'jordforurening': 1, 'luftforurening': 4, 'opklaringspct': 0.06, 'risk': 2}"
29,1814535,https://boliga.dk/bolig/1814535,Brandmosevej 19,2750,Ballerup,68,2495000,36691.0,842,2286,1980,-,125000,3.0,False,0A3F50A2-F5A8-32B8-E044-0003BA298018,55.74115,12.34372,"{'skybrud': 4, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 6, 'radon': 6, 'jordforurening': 2, 'luftforurening': 4, 'opklaringspct': 0.03, 'risk': 3}"
30,1814257,https://boliga.dk/bolig/1814257,"Klokkelyngen 28, Langø",5390,Martofte,97,2595000,26752.0,1442,2446,2018,-,130000,4.0,False,0B538A47-C0D8-47BD-AA85-22EA78D4A827,55.55105,10.6188,"{'skybrud': 4, 'stormflod': 2, 'vandloeb': 0, 'grundvand': 5, 'radon': 5, 'jordforurening': 1, 'luftforurening': 4, 'opklaringspct': 0.05, 'risk': 7}"
31,1814272,https://boliga.dk/bolig/1814272,Skovtoften 28,3300,Frederiksværk,73,2695000,36917.0,2670,1520,1959,-,135000,3.0,False,0A3F50A8-9D14-32B8-E044-0003BA298018,56.013,12.04914,"{'skybrud': 3, 'stormflod': 0, 'vandloeb': 2, 'grundvand': 6, 'radon': 5, 'jordforurening': 2, 'luftforurening': 4, 'opklaringspct': 0.05, 'risk': 6}"
32,1814244,https://boliga.dk/bolig/1814244,Engvej 1B,5953,Tranekær,103,2845000,27621.0,1251,2104,2005,-,145000,4.0,False,11F17AE3-BE36-0668-E044-0003BA298018,55.15488,10.95379,"{'skybrud': 2, 'stormflod': 4, 'vandloeb': 0, 'grundvand': 5, 'radon': 6, 'jordforurening': 1, 'luftforurening': 4, 'opklaringspct': 0.01, 'risk': 10}"
33,1814488,https://boliga.dk/bolig/1814488,"Nordvestbak 20A, Klitmøller",7700,Thisted,107,2975000,27803.0,1219,1761,2002,-,150000,4.0,False,0A3F50C4-FDAB-32B8-E044-0003BA298018,57.04081,8.47873,"{'skybrud': 4, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 4, 'radon': 4, 'jordforurening': 2, 'luftforurening': 1, 'opklaringspct': 0.06, 'risk': 3}"
34,1814394,https://boliga.dk/bolig/1814394,"Østenkrog 3, Øster Hurup",9560,Hadsund,91,2995000,32912.0,723,2850,2020,-,150000,4.0,False,0A3F50C7-B8D8-32B8-E044-0003BA298018,56.81109,10.27104,"{'skybrud': 3, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 5, 'radon': 5, 'jordforurening': 4, 'luftforurening': 2, 'opklaringspct': 0.02, 'risk': 7}"
35,1814493,https://boliga.dk/bolig/1814493,Havørns Alle 2,9492,Blokhus,93,3195000,34354.0,1828,2758,1946,-,160000,4.0,False,0A3F50C8-D8F7-32B8-E044-0003BA298018,57.24472,9.58347,"{'skybrud': 1, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 6, 'radon': 8, 'jordforurening': 1, 'luftforurening': 2, 'opklaringspct': 0.04, 'risk': 3}"
36,1814548,https://boliga.dk/bolig/1814548,Hermelinvej 27,3390,Hundested,132,3750000,28409.0,1784,2220,1961,-,190000,5.0,False,0A3F50A9-EDB6-32B8-E044-0003BA298018,55.97534,11.87408,"{'skybrud': 1, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 4, 'radon': 6, 'jordforurening': 2, 'luftforurening': 4, 'opklaringspct': 0.04, 'risk': 7}"
37,1814496,https://boliga.dk/bolig/1814496,"Steenleng-Åsen 16, Rågeleje",3210,Vejby,170,3969000,23347.0,1354,2711,1969,-,200000,4.0,False,0A3F50A8-DBA6-32B8-E044-0003BA298018,56.08901,12.16819,"{'skybrud': 4, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 3, 'radon': 7, 'jordforurening': 2, 'luftforurening': 4, 'opklaringspct': 0.04, 'risk': 1}"
38,1814437,https://boliga.dk/bolig/1814437,Dalby Strandvej 19,3630,Jægerspris,70,3985000,56928.0,5894,1889,1964,-,200000,4.0,False,0A3F50AA-31C1-32B8-E044-0003BA298018,55.81937,11.93714,"{'skybrud': 3, 'stormflod': 2, 'vandloeb': 0, 'grundvand': 4, 'radon': 8, 'jordforurening': 1, 'luftforurening': 4, 'opklaringspct': 0.04, 'risk': 4}"
39,1814497,https://boliga.dk/bolig/1814497,"Smidstrup Strandvej 91, Smidstrup Strand",3250,Gilleleje,125,4475000,35800.0,1716,3380,1956,-,225000,3.0,False,0A3F50A8-D8E1-32B8-E044-0003BA298018,56.11478,12.22985,"{'skybrud': 1, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 3, 'radon': 5, 'jordforurening': 1, 'luftforurening': 4, 'opklaringspct': 0.07, 'risk': 6}"
40,1814253,https://boliga.dk/bolig/1814253,"Næssehusvej 5, Nødebohuse",3390,Hundested,216,5995000,27754.0,3849,3978,1901,-,300000,8.0,False,0A3F50A9-F4D8-32B8-E044-0003BA298018,55.99023,11.90425,"{'skybrud': 3, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 3, 'radon': 7, 'jordforurening': 1, 'luftforurening': 4, 'opklaringspct': 0.04, 'risk': 3}"
41,1814522,https://boliga.dk/bolig/1814522,Victor Bendix Vej 4,3220,Tisvildeleje,87,5995000,68908.0,1543,3424,1956,-,300000,3.0,False,0A3F50A9-1A85-32B8-E044-0003BA298018,56.0509,12.09915,"{'skybrud': 3, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 4, 'radon': 5, 'jordforurening': 1, 'luftforurening': 4, 'opklaringspct': 0.06, 'risk': 2}"
42,1814560,https://boliga.dk/bolig/1814560,"P. K. Nielsens Vej 15, Vesterby",9990,Skagen,163,8750000,53680.0,601,4121,1827,-,440000,6.0,False,0A3F50C9-392D-32B8-E044-0003BA298018,57.71591,10.57535,"{'skybrud': 8, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 5, 'radon': 4, 'jordforurening': 4, 'luftforurening': 1, 'opklaringspct': 0.06, 'risk': 1}"
43,1814141,https://boliga.dk/bolig/1814141,"Odinsvej 6, Søndbjerg",7790,Thyholm,70,395000,5642.0,2510,862,1967,-,25000,3.0,False,0A3F50BF-03B7-32B8-E044-0003BA298018,56.61258,8.58581,"{'skybrud': 1, 'stormflod': 2, 'vandloeb': 0, 'grundvand': 3, 'radon': 7, 'jordforurening': 1, 'luftforurening': 2, 'opklaringspct': 0.09, 'risk': 3}"
44,1814132,https://boliga.dk/bolig/1814132,"Toften 93, Nr Hurup",9560,Hadsund,72,425000,5902.0,555,1958,1969,-,25000,3.0,False,77162517-061C-3BB8-E044-00144F3EAD67,56.81934,10.26381,"{'skybrud': 3, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 5, 'radon': 6, 'jordforurening': 1, 'luftforurening': 2, 'opklaringspct': 0.02, 'risk': 7}"
45,1814118,https://boliga.dk/bolig/1814118,"Kirkehøjvej 40K Dør/lejl. K1, Bork Havn",6893,Hemmet,52,545000,10480.0,119,2286,1980,-,30000,3.0,False,0A3F50BD-498B-32B8-E044-0003BA298018,55.84927,8.28204,"{'skybrud': 0, 'stormflod': 2, 'vandloeb': 2, 'grundvand': 5, 'radon': 4, 'jordforurening': 2, 'luftforurening': 4, 'opklaringspct': 0.09, 'risk': 3}"
46,1814101,https://boliga.dk/bolig/1814101,Søgårdsvej 27,6823,Ansager,87,595000,6839.0,1068,1592,1985,-,30000,4.0,False,0A3F50BA-3641-32B8-E044-0003BA298018,55.72074,8.77437,"{'skybrud': 3, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 3, 'radon': 5, 'jordforurening': 1, 'luftforurening': 3, 'opklaringspct': 0.05, 'risk': 6}"
